timestamp,dx,dy,dz,drx,dry,drz,gripper
0.015,0.01,0,0,0,0,0.02,1
0.049050689,0.02,0,0,0,0,0.02,1
0.08266624,0.03,0,0,0,0,0.02,1
0.115675463,0.01,0,0,0,0,0.02,1
0.148274959,0.02,0,0,0,0,0.02,1
0.180909864,0.03,0,0,0,0,0.02,1
0.214003835,0.01,0,0,0,0,0.02,1
0.247702067,0.02,0,0,0,0,0.02,1
0.281783216,0.03,0,0,0,0,0.02,1
0.315793668,0.01,0,0,0,0,0.02,1
0.349322692,0.02,0,0,0,0,0.02,1
0.382251584,0.03,0,0,0,0,0.02,1
0.414825673,0.01,0,0,0,0,0.02,1
0.447505507,0.02,0,0,0,0,0.02,1
0.480687489,0.03,0,0,0,0,0.02,1
0.514463427,0.01,0,0,0,0,0.02,1
0.548564843,0.02,0,0,0,0,0.02,1
0.582525828,0.03,0,0,0,0,0.02,1
0.615965658,0.01,0,0,0,0,0.02,0
0.648819732,0.02,0,0,0,0,0.02,0
0.681378763,0.03,0,0,0,0,0.02,0
0.714112433,0.01,0,0,0,0,0.02,0
0.747384489,0.02,0,0,0,0,0.02,0
0.781232101,0.03,0,0,0,0,0.02,0
0.815343315,0.01,0,0,0,0,0.02,0
0.849246279,0.02,0,0,0,0,0.02,0
0.882595462,0.03,0,0,0,0,0.02,0
0.91538125,0.01,0,0,0,0,0.02,0
0.947935778,0.02,0,0,0,0,0.02,0
0.980731457,0.03,0,0,0,0,0.02,0
