timestamp,x,y,z,qx,qy,qz,qw
0.005,0.005,-0.0025,0.2005,0,0,0.0014999994375000632,0.9999988750002109
0.015674491,0.015674491,-0.0078372455,0.20156744910000002,0,0,0.004702329970246948,0.9999889439853077
0.025360851,0.025360851,-0.0126804255,0.2025360851,0,0,0.0076081818988736494,0.9999710573652588
0.034518564,0.034518564,-0.017259282,0.20345185640000002,0,0,0.010355384116226052,0.9999463815724349
0.044381582,0.044381582,-0.022190791,0.2044381582,0,0,0.013314081215720443,0.9999113636924931
0.055150584,0.055150584,-0.027575292,0.2055150584,0,0,0.01654442035650567,0.9998631317110693
0.06569898,0.06569898,-0.03284949,0.206569898,0,0,0.019708417913955084,0.9998057702690702
0.075223369,0.075223369,-0.0376116845,0.20752233690000002,0,0,0.0225650952986225,0.9997453758203456
0.084420521,0.084420521,-0.0422102605,0.2084420521,0,0,0.02532344896081054,0.999679310045341
0.094466611,0.094466611,-0.0472333055,0.20944666110000001,0,0,0.028336189887427064,0.9995984495499499
0.105294117,0.105294117,-0.0526470585,0.2105294117,0,0,0.03158298215120678,0.9995011331851688
0.11569074,0.11569074,-0.05784537,0.21156907400000002,0,0,0.034700254416960404,0.999397764828098
0.125075428,0.125075428,-0.062537714,0.2125075428,0,0,0.03751382403713043,0.9992961087716249
0.134349613,0.134349613,-0.0671748065,0.2134349613,0,0,0.04029397234872566,0.9991878681170825
0.144576617,0.144576617,-0.0722883085,0.21445766170000002,0,0,0.043359387388000284,0.9990595395297206
0.155423878,0.155423878,-0.077711939,0.2155423878,0,0,0.046610269943162974,0.9989131507472636
0.165650157,0.165650157,-0.0828250785,0.2165650157,0,0,0.049674595163177626,0.998765455247314
0.174923954,0.174923954,-0.087461977,0.2174923954,0,0,0.052453103755325074,0.9986233884235003
0.184309159,0.184309159,-0.0921545795,0.21843091590000002,0,0,0.055264577698007376,0.9984717454449379
0.194706447,0.194706447,-0.0973532235,0.21947064470000002,0,0,0.058378723293719154,0.9982945079817855
0.205533791,0.205533791,-0.1027668955,0.2205533791,0,0,0.061621073035415044,0.9980996159492118
0.21557913,0.21557913,-0.107789565,0.22155791300000002,0,0,0.06462866336722292,0.9979093825951163
0.224776042,0.224776042,-0.112388021,0.2224776042,0,0,0.06738171931440637,0.9977272692986969
0.234301053,0.234301053,-0.1171505265,0.22343010530000001,0,0,0.07023244930239131,0.9975306526944357
0.244850023,0.244850023,-0.1224250115,0.2244850023,0,0,0.07338896861355888,0.9973033938004212
0.255618709,0.255618709,-0.1278093545,0.22556187090000002,0,0,0.07661047416437987,0.9970610990547715
0.265480985,0.265480985,-0.1327404925,0.22654809850000002,0,0,0.07956012206847925,0.9968300692577691
0.274638616,0.274638616,-0.137319308,0.2274638616,0,0,0.08229839896297948,0.9966077330264552
0.284325676,0.284325676,-0.142162838,0.22843256760000002,0,0,0.08519430703191329,0.9963643560712878
0.295000622,0.295000622,-0.147500311,0.22950006220000002,0,0,0.08838470541509387,0.9960864138460513
